"","Industry","Data","Total","0-4","5-9","10-19","20-49","50-99","100-249","250-499","500-999","1000","Year"
"453","Services","Payroll (in thousands)",6872344,436251,436810,635049,981203,846487,1185535,836948,778658,735403,2012-01-01
"454","Total","No. of Businesses",90795,58114,13112,9138,6406,2360,1213,296,108,48,2013-01-01
"455","Total","No. of Employees",1091951,84446,86879,123942,192336,162128,183959,98838,74623,84800,2013-01-01
"456","Total","Payroll (in thousands)",14005317,831862,884242,1277855,2041654,1995706,2490835,1521857,1420824,1540481,2013-01-01
"457","Agriculture","No. of Businesses",643,379,98,66,56,30,10,NA,NA,NA,2013-01-01
"458","Agriculture","No. of Employees",10197,613,665,909,1756,2078,1396,NA,NA,NA,2013-01-01
"459","Agriculture","Payroll (in thousands)",79519,4677,5016,6988,14671,16822,12808,NA,NA,NA,2013-01-01
"460","Utilities","No. of Businesses",91,34,13,12,12,7,6,NA,NA,NA,2013-01-01
"461","Utilities","No. of Employees",6549,58,83,170,383,468,1087,NA,NA,NA,2013-01-01
"462","Utilities","Payroll (in thousands)",189998,836,1552,3578,9294,11078,28030,NA,NA,NA,2013-01-01
"463","Construction and Mining","No. of Businesses",5967,3600,990,689,453,144,77,10,NA,NA,2013-01-01
"464","Construction and Mining","No. of Employees",62192,5749,6506,9415,13461,9914,11033,3190,NA,NA,2013-01-01
"465","Construction and Mining","Payroll (in thousands)",850004,63315,65789,115407,182909,144263,158783,63031,NA,NA,2013-01-01
"466","Manufacturing","No. of Businesses",2933,1221,505,442,418,184,110,27,15,11,2013-01-01
"467","Manufacturing","No. of Employees",94397,2237,3411,6049,12759,12873,17536,9520,10260,19752,2013-01-01
"468","Manufacturing","Payroll (in thousands)",1665129,26958,40828,67984,173639,183891,306057,151116,220898,493758,2013-01-01
"469","Wholesale Trade","No. of Businesses",3980,2246,783,505,289,92,50,12,3,NA,2013-01-01
"470","Wholesale Trade","No. of Employees",44272,3975,5168,6758,8598,6336,7419,3923,2095,NA,2013-01-01
"471","Wholesale Trade","Payroll (in thousands)",713731,55442,68878,93628,124403,105575,145249,76533,44024,NA,2013-01-01
"472","Retail Trade","No. of Businesses",8283,3296,2054,1390,896,400,193,NA,NA,NA,2013-01-01
"473","Retail Trade","No. of Employees",139706,6714,13800,18634,26570,27939,28418,NA,NA,NA,2013-01-01
"474","Retail Trade","Payroll (in thousands)",1047177,54151,90612,119337,174000,222449,238060,NA,NA,NA,2013-01-01
"475","Transportation and Warehousing","No. of Businesses",1396,704,278,205,133,49,NA,6,NA,NA,2013-01-01
"476","Transportation and Warehousing","No. of Employees",19944,1253,1824,2779,4291,3388,NA,2262,NA,NA,2013-01-01
"477","Transportation and Warehousing","Payroll (in thousands)",205306,12759,16889,26429,45097,37320,NA,21559,NA,NA,2013-01-01
"478","Information","No. of Businesses",1135,605,180,132,115,61,26,9,NA,NA,2013-01-01
"479","Information","No. of Employees",23849,909,1182,1836,3462,3986,3769,3140,NA,NA,2013-01-01
"480","Information","Payroll (in thousands)",536396,15920,18870,33987,65884,68324,71344,49538,NA,NA,2013-01-01
"481","Finance and Insurance","No. of Businesses",4026,2407,730,524,235,80,29,15,NA,NA,2013-01-01
"482","Finance and Insurance","No. of Employees",44298,3957,4850,6933,6891,5620,4371,5307,NA,NA,2013-01-01
"483","Finance and Insurance","Payroll (in thousands)",884412,64751,71609,111419,148324,125265,85818,113502,NA,NA,2013-01-01
"484","Real Estate and Rental and Leasing","No. of Businesses",4672,3439,678,320,160,48,NA,NA,NA,NA,2013-01-01
"485","Real Estate and Rental and Leasing","No. of Employees",26792,5442,4374,4215,4795,3456,NA,NA,NA,NA,2013-01-01
"486","Real Estate and Rental and Leasing","Payroll (in thousands)",336341,66098,46996,51680,62016,43381,NA,NA,NA,NA,2013-01-01
"487","Services","No. of Businesses",57669,40183,6803,4853,3639,1265,668,156,72,30,2013-01-01
"488","Services","No. of Employees",619755,53539,45016,66244,109370,86070,102287,52308,49831,55090,2013-01-01
"489","Services","Payroll (in thousands)",7497304,466956,457202,647418,1041417,1037339,1356511,882118,848270,760073,2013-01-01
"490","Total","No. of Businesses",95466,62204,13159,9353,6662,2385,1241,312,98,52,2014-01-01
"491","Total","No. of Employees",1118266,86454,87650,126795,201422,164253,187919,104784,68766,90223,2014-01-01
"492","Total","Payroll (in thousands)",14416107,867722,918167,1326567,2199605,2007398,2535506,1571408,1251622,1738110,2014-01-01
"493","Agriculture","No. of Businesses",653,396,99,69,51,23,11,NA,NA,NA,2014-01-01
"494","Agriculture","No. of Employees",10720,598,675,1016,1523,1648,1502,NA,NA,NA,2014-01-01
"495","Agriculture","Payroll (in thousands)",80740,4680,5031,7766,13536,14607,13507,NA,NA,NA,2014-01-01
"496","Utilities","No. of Businesses",89,32,16,11,11,6,NA,4,NA,NA,2014-01-01
"497","Utilities","No. of Employees",5573,52,104,151,380,403,NA,1132,NA,NA,2014-01-01
"498","Utilities","Payroll (in thousands)",130497,649,1785,3334,9791,9462,NA,24869,NA,NA,2014-01-01
"499","Construction and Mining","No. of Businesses",6369,3902,1025,696,499,162,69,13,NA,NA,2014-01-01
"500","Construction and Mining","No. of Employees",64943,5786,6759,9375,15058,11415,10027,4331,NA,NA,2014-01-01
"501","Construction and Mining","Payroll (in thousands)",906405,64695,71067,112323,211669,166971,156221,78714,NA,NA,2014-01-01
"502","Manufacturing","No. of Businesses",3026,1280,505,448,445,172,123,28,14,11,2014-01-01
"503","Manufacturing","No. of Employees",96828,2237,3406,6164,13577,12023,19529,9837,10170,19885,2014-01-01
"504","Manufacturing","Payroll (in thousands)",1787544,28897,41053,72316,184659,183743,324760,201794,248197,502125,2014-01-01
"505","Wholesale Trade","No. of Businesses",4040,2287,806,494,298,95,49,NA,NA,NA,2014-01-01
"506","Wholesale Trade","No. of Employees",43329,3849,5389,6706,8916,6581,7703,NA,NA,NA,2014-01-01
"507","Wholesale Trade","Payroll (in thousands)",692514,56950,73043,95351,139094,112479,143848,NA,NA,NA,2014-01-01
"508","Retail Trade","No. of Businesses",8550,3536,2025,1444,894,400,195,NA,NA,NA,2014-01-01
"509","Retail Trade","No. of Employees",142121,6935,13616,19469,26929,28337,28588,NA,NA,NA,2014-01-01
"510","Retail Trade","Payroll (in thousands)",1097164,56764,93620,126546,178683,241110,251009,NA,NA,NA,2014-01-01
"511","Transportation and Warehousing","No. of Businesses",1435,720,275,220,138,52,20,NA,NA,NA,2014-01-01
"512","Transportation and Warehousing","No. of Employees",21029,1213,1820,2906,4324,3495,2938,NA,NA,NA,2014-01-01
"513","Transportation and Warehousing","Payroll (in thousands)",218231,12284,16847,28837,46031,38771,28166,NA,NA,NA,2014-01-01
"514","Information","No. of Businesses",1189,648,172,135,122,69,30,7,NA,NA,2014-01-01
"515","Information","No. of Employees",24303,919,1160,1868,3749,4525,4509,2367,NA,NA,2014-01-01
"516","Information","Payroll (in thousands)",556066,16452,19168,35568,69500,83479,100995,60539,NA,NA,2014-01-01
"517","Finance and Insurance","No. of Businesses",4268,2658,750,509,232,71,33,10,NA,NA,2014-01-01
"518","Finance and Insurance","No. of Employees",42621,4127,5049,6728,6944,4907,4859,3876,NA,NA,2014-01-01
"519","Finance and Insurance","Payroll (in thousands)",894736,66083,77068,110671,150821,115568,98619,82508,NA,NA,2014-01-01
"520","Real Estate and Rental and Leasing","No. of Businesses",5112,3844,695,326,170,46,NA,NA,NA,NA,2014-01-01
"521","Real Estate and Rental and Leasing","No. of Employees",27412,5655,4500,4320,5005,3152,NA,NA,NA,NA,2014-01-01
"522","Real Estate and Rental and Leasing","Payroll (in thousands)",341919,69796,49197,53636,64788,40746,NA,NA,NA,NA,2014-01-01
"523","Services","No. of Businesses",60735,42901,6791,5001,3802,1289,674,175,69,33,2014-01-01
"524","Services","No. of Employees",639387,55083,45172,68092,115017,87767,102675,58859,48349,58373,2014-01-01
"525","Services","Payroll (in thousands)",7710291,490473,470290,680219,1131033,1000462,1327247,897828,819880,892859,2014-01-01
"526","Total","No. of Businesses",96853,62835,13219,9668,6906,2443,1290,341,101,50,2015-01-01
"527","Total","No. of Employees",1148702,85410,88224,130752,208576,167734,192375,114444,70539,90648,2015-01-01
"528","Total","Payroll (in thousands)",15495460,916045,966677,1415729,2342878,2104403,2998423,1776912,1205078,1769314,2015-01-01
"529","Agriculture","No. of Businesses",617,363,92,74,52,20,12,NA,NA,NA,2015-01-01
"530","Agriculture","No. of Employees",9333,534,608,1047,1612,1477,1790,NA,NA,NA,2015-01-01
"531","Agriculture","Payroll (in thousands)",72783,4184,4616,7979,14352,11571,14667,NA,NA,NA,2015-01-01
"532","Utilities","No. of Businesses",88,34,14,12,9,6,NA,5,NA,NA,2015-01-01
"533","Utilities","No. of Employees",5474,57,98,183,350,401,NA,1583,NA,NA,2015-01-01
"534","Utilities","Payroll (in thousands)",138946,734,1885,4251,9669,10172,NA,44491,NA,NA,2015-01-01
"535","Construction and Mining","No. of Businesses",6475,3880,1070,715,527,174,89,15,NA,NA,2015-01-01
"536","Construction and Mining","No. of Employees",71756,5765,7110,9572,16140,11631,12866,5040,NA,NA,2015-01-01
"537","Construction and Mining","Payroll (in thousands)",1039376,66283,81033,119265,238507,182500,192953,93855,NA,NA,2015-01-01
"538","Manufacturing","No. of Businesses",3056,1241,497,493,432,199,125,46,11,12,2015-01-01
"539","Manufacturing","No. of Employees",104749,2144,3306,6619,13167,13874,19395,16004,8337,21903,2015-01-01
"540","Manufacturing","Payroll (in thousands)",1916066,29769,39480,83976,179231,229931,331030,285284,157357,580008,2015-01-01
"541","Wholesale Trade","No. of Businesses",4016,2277,747,522,311,96,49,NA,NA,NA,2015-01-01
"542","Wholesale Trade","No. of Employees",44116,3863,5035,7099,9290,6367,7518,NA,NA,NA,2015-01-01
"543","Wholesale Trade","Payroll (in thousands)",798189,60264,80977,101592,169436,107712,154702,NA,NA,NA,2015-01-01
"544","Retail Trade","No. of Businesses",8559,3450,2057,1510,901,369,214,NA,NA,NA,2015-01-01
"545","Retail Trade","No. of Employees",144062,6519,13893,20266,27126,26314,30821,NA,NA,NA,2015-01-01
"546","Retail Trade","Payroll (in thousands)",1144231,56588,97994,132905,192023,216270,268789,NA,NA,NA,2015-01-01
"547","Transportation and Warehousing","No. of Businesses",1449,718,272,220,154,48,25,9,3,NA,2015-01-01
"548","Transportation and Warehousing","No. of Employees",22540,1130,1813,2958,4743,3192,3565,3170,1969,NA,2015-01-01
"549","Transportation and Warehousing","Payroll (in thousands)",236515,12489,16883,28443,48573,36728,36095,32886,24418,NA,2015-01-01
"550","Information","No. of Businesses",1143,602,158,144,127,73,29,3,NA,NA,2015-01-01
"551","Information","No. of Employees",23589,875,1046,1967,3892,5067,4407,820,NA,NA,2015-01-01
"552","Information","Payroll (in thousands)",549637,23008,16895,34951,75990,95063,97887,18948,NA,NA,2015-01-01
"553","Finance and Insurance","No. of Businesses",4393,2735,802,493,238,76,34,10,NA,NA,2015-01-01
"554","Finance and Insurance","No. of Employees",43361,4168,5420,6461,7084,5326,5065,4082,NA,NA,2015-01-01
"555","Finance and Insurance","Payroll (in thousands)",883893,70472,87340,116630,158749,141584,100361,95100,NA,NA,2015-01-01
"556","Real Estate and Rental and Leasing","No. of Businesses",5084,3810,707,321,171,48,NA,NA,NA,NA,2015-01-01
"557","Real Estate and Rental and Leasing","No. of Employees",27374,5609,4610,4265,5140,3333,NA,NA,NA,NA,2015-01-01
"558","Real Estate and Rental and Leasing","Payroll (in thousands)",358406,73873,53628,55046,71198,45452,NA,NA,NA,NA,2015-01-01
"559","Services","No. of Businesses",61973,43725,6803,5164,3984,1334,681,180,70,32,2015-01-01
"560","Services","No. of Employees",652348,54746,45285,70315,120032,90752,101973,60345,49143,59757,2015-01-01
"561","Services","Payroll (in thousands)",8357417,518382,485945,730692,1185150,1027418,1714723,931475,827439,936192,2015-01-01
"562","Total","No. of Businesses",98028,62941,13653,10023,7115,2463,1337,339,104,53,2016-01-01
"563","Total","No. of Employees",1177454,85123,90827,136104,215172,169276,198601,113791,73329,95231,2016-01-01
"564","Total","Payroll (in thousands)",16647047,976102,1046556,1579118,2581720,2311470,2973885,1947010,1310165,1921020,2016-01-01
"565","Agriculture","No. of Businesses",611,364,90,67,56,19,10,NA,NA,NA,2016-01-01
"566","Agriculture","No. of Employees",9111,534,594,944,1706,1404,1375,NA,NA,NA,2016-01-01
"567","Agriculture","Payroll (in thousands)",83518,5856,4312,8191,15933,13104,13379,NA,NA,NA,2016-01-01
"568","Mining","No. of Businesses",37,23,7,NA,4,NA,NA,NA,NA,NA,2016-01-01
"569","Mining","No. of Employees",302,29,46,NA,135,NA,NA,NA,NA,NA,2016-01-01
"570","Mining","Payroll (in thousands)",5797,582,829,NA,2793,NA,NA,NA,NA,NA,2016-01-01
"571","Utilities","No. of Businesses",89,31,14,NA,13,6,6,5,NA,NA,2016-01-01
"572","Utilities","No. of Employees",5351,53,85,NA,451,400,1087,1515,NA,NA,2016-01-01
"573","Utilities","Payroll (in thousands)",155595,890,1994,NA,13915,11893,35696,46185,NA,NA,2016-01-01
"574","Construction","No. of Businesses",6627,3939,1083,736,555,192,98,17,7,NA,2016-01-01
"575","Construction","No. of Employees",76710,5776,7174,9943,16769,12506,14082,5540,4920,NA,2016-01-01
"576","Construction","Payroll (in thousands)",1210908,73572,88053,135245,265960,206924,234583,100501,106069,NA,2016-01-01
"577","Manufacturing","No. of Businesses",3125,1230,553,519,425,207,117,47,15,12,2016-01-01
"578","Manufacturing","No. of Employees",106830,2167,3667,7159,13271,14496,18104,15610,11007,21349,2016-01-01
"579","Manufacturing","Payroll (in thousands)",2191457,35901,49253,99514,196604,270139,348744,326162,224081,641059,2016-01-01
"580","Wholesale Trade","No. of Businesses",3951,2190,750,523,340,83,54,NA,NA,NA,2016-01-01
"581","Wholesale Trade","No. of Employees",44224,3739,5017,7088,10194,5670,8232,NA,NA,NA,2016-01-01
"582","Wholesale Trade","Payroll (in thousands)",808514,59800,77331,109546,176931,89594,194633,NA,NA,NA,2016-01-01
"583","Retail Trade","No. of Businesses",8616,3429,2140,1517,870,383,226,NA,NA,NA,2016-01-01
"584","Retail Trade","No. of Employees",144124,6560,14384,20492,25963,27182,32091,NA,NA,NA,2016-01-01
"585","Retail Trade","Payroll (in thousands)",1211002,63250,107328,153148,194707,237124,290185,NA,NA,NA,2016-01-01
"586","Transportation and Warehousing","No. of Businesses",1448,734,248,244,139,41,29,8,5,NA,2016-01-01
"587","Transportation and Warehousing","No. of Employees",23831,1185,1669,3298,4282,2861,4251,3138,3147,NA,2016-01-01
"588","Transportation and Warehousing","Payroll (in thousands)",269739,14838,17841,34668,47805,35432,45226,36018,37911,NA,2016-01-01
"589","Information","No. of Businesses",1134,615,163,126,132,NA,29,5,6,NA,2016-01-01
"590","Information","No. of Employees",23197,849,1064,1771,4168,NA,4250,1506,4080,NA,2016-01-01
"591","Information","Payroll (in thousands)",587443,16877,20162,32809,82519,NA,81594,30445,96848,NA,2016-01-01
"592","Finance and Insurance","No. of Businesses",4471,2771,808,523,237,84,NA,9,4,NA,2016-01-01
"593","Finance and Insurance","No. of Employees",44554,4315,5419,6810,7059,5778,NA,3411,2694,NA,2016-01-01
"594","Finance and Insurance","Payroll (in thousands)",968826,79229,94632,138965,176782,155685,NA,72138,75566,NA,2016-01-01
"595","Real Estate and Rental and Leasing","No. of Businesses",5181,3864,729,345,167,49,NA,NA,NA,NA,2016-01-01
"596","Real Estate and Rental and Leasing","No. of Employees",27617,5529,4748,4564,4952,3302,NA,NA,NA,NA,2016-01-01
"597","Real Estate and Rental and Leasing","Payroll (in thousands)",386797,78242,59872,62707,71065,46492,NA,NA,NA,NA,2016-01-01
"598","Services","No. of Businesses",62775,43774,7075,5410,4181,1342,710,185,62,36,2016-01-01
"599","Services","No. of Employees",671905,54416,47006,73864,126357,91726,106296,62038,44558,65644,2016-01-01
"600","Services","Payroll (in thousands)",8773249,547646,525779,800229,1339499,1161098,1560332,1087393,732894,1018378,2016-01-01
"601","Total","No. of Businesses",102774,67064,13810,10200,7324,2530,1344,323,124,55,2017-01-01
"602","Total","No. of Employees",1205856,91751,92010,138031,221363,173696,201344,108266,82426,96969,2017-01-01
"603","Total","Payroll (in thousands)",16810847,978898,1050470,1576909,2673002,2311341,3001892,1761986,1513855,1942494,2017-01-01
"604","Ag, Forestry, Fishing, Hunting","No. of Businesses",612,359,96,71,55,20,7,NA,NA,NA,2017-01-01
"605","Ag, Forestry, Fishing, Hunting","No. of Employees",8878,580,610,984,1741,1476,1137,NA,NA,NA,2017-01-01
"606","Ag, Forestry, Fishing, Hunting","Payroll (in thousands)",86597,5199,4761,8519,16175,15929,12720,NA,NA,NA,2017-01-01
"607","Mining","No. of Businesses",32,17,6,NA,6,NA,NA,NA,NA,NA,2017-01-01
"608","Mining","No. of Employees",330,19,39,NA,168,NA,NA,NA,NA,NA,2017-01-01
"609","Mining","Payroll (in thousands)",6060,332,885,NA,3423,NA,NA,NA,NA,NA,2017-01-01
"610","Utilities","No. of Businesses",97,38,13,NA,11,NA,7,NA,NA,NA,2017-01-01
"611","Utilities","No. of Employees",5121,59,83,NA,377,NA,1256,NA,NA,NA,2017-01-01
"612","Utilities","Payroll (in thousands)",150885,1099,2218,NA,12577,NA,41871,NA,NA,NA,2017-01-01
"613","Construction","No. of Businesses",7006,4222,1137,757,583,181,101,18,7,NA,2017-01-01
"614","Construction","No. of Employees",80213,6446,7552,10200,18054,12303,15043,6034,4581,NA,2017-01-01
"615","Construction","Payroll (in thousands)",1253500,75892,92951,137207,283625,208550,255023,109746,90505,NA,2017-01-01
"616","Manufacturing","No. of Businesses",3233,1327,547,498,449,213,124,43,21,11,2017-01-01
"617","Manufacturing","No. of Employees",109004,2452,3674,6850,13741,14734,19193,13801,14228,20331,2017-01-01
"618","Manufacturing","Payroll (in thousands)",2167253,32344,47479,97463,214153,255057,353882,287981,335313,543580,2017-01-01
"619","Wholesale Trade","No. of Businesses",4076,2266,798,537,323,87,47,14,NA,NA,2017-01-01
"620","Wholesale Trade","No. of Employees",47832,3838,5284,7227,9747,6122,7160,5070,NA,NA,2017-01-01
"621","Wholesale Trade","Payroll (in thousands)",929487,58184,76594,116719,160555,103742,156968,150541,NA,NA,2017-01-01
"622","Retail Trade","No. of Businesses",8635,3432,2082,1537,908,399,224,NA,NA,NA,2017-01-01
"623","Retail Trade","No. of Employees",146731,6694,14052,20564,27259,28326,31768,NA,NA,NA,2017-01-01
"624","Retail Trade","Payroll (in thousands)",1228121,60311,104145,153754,202774,234475,298898,NA,NA,NA,2017-01-01
"625","Transportation And Warehousing","No. of Businesses",1563,811,286,223,147,49,31,8,8,NA,2017-01-01
"626","Transportation And Warehousing","No. of Employees",26555,1275,1940,3118,4462,3346,4711,2831,4872,NA,2017-01-01
"627","Transportation And Warehousing","Payroll (in thousands)",306713,13266,21138,32166,51640,39402,52804,31744,64552,NA,2017-01-01
"628","Information","No. of Businesses",1225,704,161,133,117,67,29,6,NA,NA,2017-01-01
"629","Information","No. of Employees",24426,992,1071,1861,3772,4596,4098,1816,NA,NA,2017-01-01
"630","Information","Payroll (in thousands)",668928,17172,19199,34365,82389,93946,89327,38360,NA,NA,2017-01-01
"631","Finance And Insurance","No. of Businesses",4638,2941,788,536,242,76,40,8,NA,NA,2017-01-01
"632","Finance And Insurance","No. of Employees",45733,4681,5240,6931,7254,5192,6105,2929,NA,NA,2017-01-01
"633","Finance And Insurance","Payroll (in thousands)",981574,87639,85971,129849,185528,133298,144729,61454,NA,NA,2017-01-01
"634","Real Estate & Rental And Leasing","No. of Businesses",5511,4182,717,362,176,48,23,NA,NA,NA,2017-01-01
"635","Real Estate & Rental And Leasing","No. of Employees",28414,6004,4664,4742,5308,3176,3282,NA,NA,NA,2017-01-01
"636","Real Estate & Rental And Leasing","Payroll (in thousands)",383701,79358,60626,63317,74342,46881,48198,NA,NA,NA,2017-01-01
"637","Services","No. of Businesses",66146,46765,7179,5529,4307,1381,711,167,69,38,2017-01-01
"638","Services","No. of Employees",682619,58711,47801,75336,129480,93852,107591,56447,46597,66804,2017-01-01
"639","Services","Payroll (in thousands)",8648028,548101,534503,798747,1385820,1163583,1547471,873724,733938,1062141,2017-01-01
"640","Total","No. of Businesses",109605,73329,14040,10377,7365,2569,1415,334,124,52,2018-01-01
"641","Total","No. of Employees",1238541,99077,93372,140793,222889,176205,212595,113174,84061,96375,2018-01-01
"642","Total","Payroll (in thousands)",17981889,1062226,1098650,1654196,2807716,2462196,3214918,1949877,1634654,2097457,2018-01-01
"643","Ag, Forestry, Fishing, Hunting","No. of Businesses",626,363,97,77,56,17,NA,NA,NA,NA,2018-01-01
"644","Ag, Forestry, Fishing, Hunting","No. of Employees",9543,541,611,1068,1839,1339,NA,NA,NA,NA,2018-01-01
"645","Ag, Forestry, Fishing, Hunting","Payroll (in thousands)",94317,5222,4816,9276,16709,13854,NA,NA,NA,NA,2018-01-01
"646","Mining","No. of Businesses",37,22,5,5,NA,NA,NA,NA,NA,NA,2018-01-01
"647","Mining","No. of Employees",356,26,37,71,NA,NA,NA,NA,NA,NA,2018-01-01
"648","Mining","Payroll (in thousands)",6768,672,746,1306,NA,NA,NA,NA,NA,NA,2018-01-01
"649","Utilities","No. of Businesses",93,40,12,10,12,NA,NA,4,NA,NA,2018-01-01
"650","Utilities","No. of Employees",5032,70,82,131,417,NA,NA,1131,NA,NA,2018-01-01
"651","Utilities","Payroll (in thousands)",156414,1347,2375,2931,14847,NA,NA,36666,NA,NA,2018-01-01
"652","Construction","No. of Businesses",7673,4846,1148,764,581,192,114,22,6,NA,2018-01-01
"653","Construction","No. of Employees",84432,7211,7626,10430,17866,13019,16840,7291,4149,NA,2018-01-01
"654","Construction","Payroll (in thousands)",1351696,81905,98153,142680,287778,224142,306133,132050,78856,NA,2018-01-01
"655","Manufacturing","No. of Businesses",3491,1540,570,504,452,208,142,47,16,12,2018-01-01
"656","Manufacturing","No. of Employees",112598,2742,3757,6907,13860,14551,22331,16246,10602,21602,2018-01-01
"657","Manufacturing","Payroll (in thousands)",2308026,38537,49573,91125,210952,256199,410439,385043,282835,583322,2018-01-01
"658","Wholesale Trade","No. of Businesses",4342,2587,766,523,318,97,NA,8,NA,NA,2018-01-01
"659","Wholesale Trade","No. of Employees",43430,4408,5107,7050,9526,6721,NA,3058,NA,NA,2018-01-01
"660","Wholesale Trade","Payroll (in thousands)",785529,64556,75649,116714,157159,124396,NA,73524,NA,NA,2018-01-01
"661","Retail Trade","No. of Businesses",8970,3826,2063,1512,890,394,232,50,3,NA,2018-01-01
"662","Retail Trade","No. of Employees",146295,7365,13859,20178,26362,27532,32844,16237,1918,NA,2018-01-01
"663","Retail Trade","Payroll (in thousands)",1260199,65973,106409,155159,201537,244392,303482,162846,20401,NA,2018-01-01
"664","Transportation And Warehousing","No. of Businesses",1691,927,275,246,145,49,30,11,8,NA,2018-01-01
"665","Transportation And Warehousing","No. of Employees",28001,1410,1844,3387,4521,3478,4665,3790,4906,NA,2018-01-01
"666","Transportation And Warehousing","Payroll (in thousands)",332585,14946,20562,36527,55150,42718,54076,48056,60548,NA,2018-01-01
"667","Information","No. of Businesses",1310,821,143,137,NA,63,32,3,7,NA,2018-01-01
"668","Information","No. of Employees",23955,1149,948,1881,NA,4362,4783,878,4950,NA,2018-01-01
"669","Information","Payroll (in thousands)",719281,20870,16098,41552,NA,93424,103014,19760,132970,NA,2018-01-01
"670","Finance And Insurance","No. of Businesses",4780,3079,827,524,214,79,40,11,3,3,2018-01-01
"671","Finance And Insurance","No. of Employees",46504,4812,5486,6864,6424,5420,6256,3905,1952,5385,2018-01-01
"672","Finance And Insurance","Payroll (in thousands)",1025100,85793,93181,136744,177848,146720,135685,87042,63076,99011,2018-01-01
"673","Real Estate & Rental And Leasing","No. of Businesses",5997,4643,731,368,176,53,23,3,NA,NA,2018-01-01
"674","Real Estate & Rental And Leasing","No. of Employees",29381,6472,4744,4867,5202,3534,3341,1221,NA,NA,2018-01-01
"675","Real Estate & Rental And Leasing","Payroll (in thousands)",417071,88148,63908,67606,80610,53014,51823,11963,NA,NA,2018-01-01
"676","Services","No. of Businesses",70595,50635,7403,5707,4414,1409,740,175,78,34,2018-01-01
"677","Services","No. of Employees",709014,62871,49271,77959,133413,95722,111808,59417,53696,64857,2018-01-01
"678","Services","Payroll (in thousands)",9524903,594257,567180,852574,1531172,1248213,1638270,992926,960341,1139969,2018-01-01
